Name  Number   BeamID   E          N          U

HH136      136        0  -156.5976     2.9439    -0.1819
HH140      140        0   -98.1662     3.1671    -0.3008
HH121      121        0   -90.8139    -9.4618    -0.1707
HH88        88        0   -46.8938   -34.5981     0.1697
HH41        41        0   -54.0528   -72.5764     0.4894
HH86        86        0   -76.1095   -34.7097     0.0795
HH99        99        0  -141.8931   -22.3039    -0.0516
HH103      103        0   -83.4617   -22.0808    -0.0606
HH117      117        0  -149.2453    -9.6850    -0.1018
HH36        36        0  -127.0920   -72.8553     0.4783
HH51        51        0  -119.8364   -60.1706     0.3386
HH50        50        0  -134.4442   -60.2264     0.3283
HH98        98        0  -156.5009   -22.3597     0.1180
HH123      123        0   -61.5983    -9.3503    -0.1303
HH124      124        0   -46.9904    -9.2945    -0.1302
HH65        65        0  -141.7965   -47.6075     0.2382
HH137      137        0  -141.9897     2.9997    -0.3116
HH100      100        0  -127.2852   -22.2481    -0.0613
HH82        82        0  -134.5408   -34.9328     0.1185
HH120      120        0  -105.4218    -9.5176    -0.1709
HH143      143        0   -54.3427     3.3344    -0.2902
HH66        66        0  -127.1886   -47.5517     0.2286
HH83        83        0  -119.9330   -34.8770     0.0888
HH122      122        0   -76.2061    -9.4061    -0.1505
HH67        67        0  -112.5808   -47.4959     0.2088
HH68        68        0   -97.9729   -47.4401     0.1791
HH69        69        0   -83.3651   -47.3844     0.1993
HH70        70        0   -68.7573   -47.3286     0.2295
HH71        71        0   -54.1494   -47.2728     0.3396
HH85        85        0   -90.7173   -34.7654     0.0793
HH0          0        0  -105.0353  -110.7221     0.9382
HH1          1        0   -90.4275  -110.6663     0.9284
HH11        11        0  -112.3875   -98.1031     0.7883
HH12        12        0   -97.7797   -98.0474     0.7185
HH13        13        0   -83.1718   -97.9916     0.6587
HH14        14        0   -68.5640   -97.9358     0.7989
HH2          2        0   -75.8196  -110.6105     0.9186
HH23        23        0  -119.7398   -85.4742     0.6483
HH24        24        0  -105.1319   -85.4184     0.6686
HH25        25        0   -90.5241   -85.3627     0.6588
HH26        26        0   -75.9162   -85.3069     0.6490
HH27        27        0   -61.3084   -85.2511     0.7491
HH37        37        0  -112.4842   -72.7995     0.5686
HH38        38        0   -97.8763   -72.7437     0.5588
HH39        39        0   -83.2685   -72.6880     0.5290
HH40        40        0   -68.6606   -72.6322     0.5492
HH52        52        0  -105.2286   -60.1148     0.4088
HH53        53        0   -90.6207   -60.0590     0.3791
HH54        54        0   -76.0129   -60.0033     0.3893
HH55        55        0   -61.4050   -59.9475     0.3594
HH104      104        0   -68.8539   -22.0250    -0.0404
HH118      118        0  -134.6375    -9.6292    -0.1714
HH84        84        0  -105.3252   -34.8212     0.0890
HH87        87        0   -61.5016   -34.6539     0.0996
HH141      141        0   -83.5584     3.2228    -0.3005
HH138      138        0  -127.3819     3.0555    -0.3113
HH101      101        0  -112.6774   -22.1923    -0.0710
HH119      119        0  -120.0296    -9.5734    -0.1811
HH142      142        0   -68.9505     3.2786    -0.2904
HH139      139        0  -112.7740     3.1113    -0.3210
HH102      102        0   -98.0696   -22.1365    -0.0608
HH81        81        0  -149.1487   -34.9886     0.1982
HH116      116        0  -163.8532    -9.7408    -0.0021
HH155      155        0  -171.2698    19.7572    -0.4723
HH156      156        0  -156.6620    19.8130    -0.4120
