SOURCE_ID	RA_J2000 [deg]	Dec_J2000 [deg]	Flux [Jy]	Frequency [Hz]
HERATEST0	68.48535	-28.559917	1	100000000.0
HERATEST1	66.21075	-28.669444	1	100000000.0
HERATEST2	63.93300	-28.742866	1	100000000.0
HERATEST3	62.79210	-28.76516	1	100000000.0
HERATEST4	61.65180	-28.779055	1	100000000.0
HERATEST5	59.37045	-28.778843	1	100000000.0
HERATEST6	57.08925	-28.74223	1	100000000.0
HERATEST7	54.81165	-28.668388	1	100000000.0
HERATEST8	52.53720	-28.558443	1	100000000.0
HERATEST9	68.41275	-27.564489	1	100000000.0
HERATEST10	66.15885	-27.671835	1	100000000.0
HERATEST11	63.90090	-27.743365	1	100000000.0
HERATEST12	59.38125	-27.778828	1	100000000.0
HERATEST13	58.25100	-27.765359	1	100000000.0
HERATEST14	54.86385	-27.670802	1	100000000.0
HERATEST15	52.60995	-27.563048	1	100000000.0
HERATEST16	68.34300	-26.568897	1	100000000.0
HERATEST17	67.22640	-26.625843	1	100000000.0
HERATEST18	66.10875	-26.674063	1	100000000.0
HERATEST19	63.87120	-26.744231	1	100000000.0
HERATEST20	62.75160	-26.766141	1	100000000.0
HERATEST21	59.39115	-26.779049	1	100000000.0
HERATEST22	58.27125	-26.765736	1	100000000.0
HERATEST23	57.15150	-26.743624	1	100000000.0
HERATEST24	54.91395	-26.673054	1	100000000.0
HERATEST25	53.79645	-26.624634	1	100000000.0
HERATEST26	52.67985	-26.56749	1	100000000.0
HERATEST27	68.27595	-25.573194	1	100000000.0
HERATEST28	66.06075	-25.676232	1	100000000.0
HERATEST29	63.84210	-25.745088	1	100000000.0
HERATEST30	59.40120	-25.779269	1	100000000.0
HERATEST31	57.18090	-25.744495	1	100000000.0
HERATEST32	54.96225	-25.675246	1	100000000.0
HERATEST33	52.74720	-25.571818	1	100000000.0
HERATEST34	68.21160	-24.577407	1	100000000.0
HERATEST35	66.01455	-24.678446	1	100000000.0
HERATEST36	63.81510	-24.745485	1	100000000.0
HERATEST37	62.71350	-24.76709	1	100000000.0
HERATEST38	61.61280	-24.779435	1	100000000.0
HERATEST39	59.41035	-24.779242	1	100000000.0
HERATEST40	58.30965	-24.766704	1	100000000.0
HERATEST41	57.20820	-24.744905	1	100000000.0
HERATEST42	53.90925	-24.630704	1	100000000.0
