SOURCE_ID	RA_ICRS [deg]	Dec_ICRS [deg]	Flux [Jy]	Frequency [Hz]
SOURCE0	        95.201309	-30.613379	1	        100000000.0
SOURCE1	        94.04089	-30.649267	1	        100000000.0
SOURCE2	        92.879755	-30.675651	1		100000000.0
SOURCE3	        91.71812	-30.692515	1		100000000.0
SOURCE4	        89.394236	-30.697649	1		100000000.0
SOURCE5	        88.232426	-30.685916	1		100000000.0
SOURCE6	        94.003997	-29.650284	1		100000000.0
SOURCE7	        92.854148	-29.676151	1		100000000.0
SOURCE8	        89.402613	-29.69778	1		100000000.0
SOURCE9	        88.252128	-29.686319	1		100000000.0
SOURCE10	93.968522	-28.651273	1		100000000.0
SOURCE11	92.829508	-28.676638	1		100000000.0
SOURCE12	89.410592	-28.697911	1		100000000.0
SOURCE13	88.270978	-28.686714	1		100000000.0
SOURCE14	93.934402	-27.652236	1		100000000.0
SOURCE15	92.80579	-27.677114	1		100000000.0
SOURCE16	90.547502	-27.700023	1		100000000.0
SOURCE17	89.41819	-27.698041	1		100000000.0
SOURCE18	93.90158	-26.653175	1		100000000.0
SOURCE19	92.782956	-26.677579	1		100000000.0
SOURCE20	91.663941	-26.693218	1		100000000.0
SOURCE21	90.544706	-26.700083	1		100000000.0
SOURCE22	89.425423	-26.69817	1		100000000.0
SOURCE23	93.870002	-25.654089	1		100000000.0
SOURCE24	92.760969	-25.678034	1		100000000.0
SOURCE25	89.432303	-25.698299	1		100000000.0
SOURCE26	88.322764	-25.687853	1		100000000.0
SOURCE27	93.839617	-24.654982	1		100000000.0
SOURCE28	92.739793	-24.678479	1		100000000.0
SOURCE29	89.438844	-24.698428	1		100000000.0
SOURCE30	88.338543	-24.688219	1		100000000.0
SOURCE31	93.810378	-23.655853	1		100000000.0
SOURCE32	92.719397	-23.678914	1		100000000.0
SOURCE33	91.628087	-23.693722	1		100000000.0
SOURCE34	90.536593	-23.700271	1		100000000.0
SOURCE35	89.445058	-23.698556	1		100000000.0
