SOURCE_ID	RA_J2000	Dec_J2000	Flux	Frequency
HERATEST5 	3.95803 	-28.778843 	1 	100000000.0
HERATEST6 	3.80595 	-28.74223 	1 	100000000.0
HERATEST12 	3.95875 	-27.778828 	1 	100000000.0
HERATEST13 	3.8834 	-27.765359 	1 	100000000.0
HERATEST21 	3.95941 	-26.779049 	1 	100000000.0
HERATEST22 	3.88475 	-26.765736 	1 	100000000.0
HERATEST23 	3.8101 	-26.743624 	1 	100000000.0
HERATEST30 	3.96008 	-25.779269 	1 	100000000.0
HERATEST31 	3.81206 	-25.744495 	1 	100000000.0
HERATEST39 	3.96069 	-24.779242 	1 	100000000.0
HERATEST40 	3.88731 	-24.766704 	1 	100000000.0
HERATEST41 	3.81388 	-24.744905 	1 	100000000.0
