Name     Number   BeamID   E          N          U

Tile061        40        0   -34.8010   -41.7365     1.5010
Tile062        41        0   -28.0500   -28.7545     1.5060
Tile063        42        0   -11.3650   -29.5795     1.5160
Tile064        43        0    -9.0610   -20.7885     1.5160
Tile065        44        0    -4.6400   -11.9145     1.5010
Tile066        45        0    -0.5370   -22.9875     1.4850
Tile067        46        0     7.9130   -29.9295     1.4560
Tile068        47        0    19.7890   -37.0315     1.3240
Tile071        48        0  -125.5000   -69.1215     1.4070
Tile072        49        0  -127.7140  -163.7665     1.2700
Tile073        50        0  -213.9770  -455.0975    -0.8530
Tile074        51        0  -317.6720  -302.9385    -0.3820
Tile075        52        0  -382.2060  -274.8495    -0.6431
Tile076        53        0  -398.3370   -73.7295    -1.0020
Tile077        54        0  -294.0440   -75.8185    -0.0150
Tile078        55        0  -299.1280     7.5675    -0.5141
Tile081        56        0   -89.9850   314.2905    -0.9810
Tile082        57        0   -57.5660    91.5775     0.8160
Tile083        58        0     0.7090    35.1145     1.4380
Tile084        59        0    -8.2510    38.3425     1.4420
Tile085        60        0   -33.4610    41.9975     1.2960
Tile086        61        0   -29.6920    29.9795     1.4030
Tile087        62        0  -324.9720   112.2355    -1.2390
Tile088        63        0  -193.0670   130.3575    -0.4320
Tile091        64        0   396.6210   -55.3085    -1.8090
Tile092        65        0   243.9050   -65.3215    -0.7220
Tile093        66        0    67.9650    33.9245     1.1380
Tile094        67        0    23.9260    28.5525     1.3610
Tile095        68        0    14.3390    37.0055     1.4020
Tile096        69        0    36.7750    92.1315     1.2220
Tile097        70        0   120.6070   277.2425     0.4270
Tile098        71        0   155.3600   260.2245     0.5600
Tile101        72        0  -447.5660   373.5865    -3.1501
Tile102        73        0  -419.4630   345.6515    -2.8470
Tile103        74        0  -505.0770   156.0915    -2.3801
Tile104        75        0  -515.1950  -360.4465    -0.5420
Tile105        76        0  -582.9870  -116.6615    -1.2921
Tile106        77        0  -614.5470   -46.7485    -1.5181
Tile107        78        0 -1009.1200  -171.8985     1.2549
Tile108        79        0  -955.5900   315.6104    -1.7151
Tile111        80        0  -263.2781  1401.8135    -4.6861
Tile112        81        0  -156.6710   639.2125    -2.0600
Tile113        82        0  -103.2370   522.7215    -1.5370
Tile114        83        0  -186.4720   633.0885    -2.2620
Tile115        84        0  -124.5380   503.9765    -1.6610
Tile116        85        0  -179.1670   472.7925    -1.9570
Tile117        86        0  -230.2160   445.4095    -2.2400
Tile118        87        0  -818.9910   829.2235    -5.3731
Tile121        88        0   786.8730  1146.3435    -1.1520
Tile122        89        0   358.5460   359.3485    -0.6200
Tile123        90        0   308.7900   509.4965     0.0510
Tile124        91        0   298.3580   560.8075    -0.0060
Tile125        92        0   131.9230   556.3385     0.2470
Tile126        93        0    11.6060   551.6135    -0.5840
Tile127        94        0   105.7040   691.3255     0.5210
Tile128        95        0    71.4950  1153.4435    -2.0720
Tile131        96        0   910.4230   731.3105    -3.0579
Tile132        97        0  1247.7700   599.7156    -3.6319
Tile133        98        0  1384.0900   294.4556    -5.3999
Tile134        99        0   626.6020   -14.4315    -3.4700
Tile135       100        0   642.0210   100.2935    -3.2450
Tile136       101        0   559.3370   166.0635    -2.7870
Tile137       102        0   599.0780   280.2775    -2.9650
Tile138       103        0   451.5490   393.9475    -1.5030
Tile141       104        0  1171.4199  -107.1565    -6.6889
Tile142       105        0  1271.6100  -702.1665    -7.4259
Tile143       106        0   569.1090  -523.5105    -2.5340
Tile144       107        0   371.6730  -307.8685    -1.1360
Tile145       108        0   441.1280  -297.3315    -1.4140
Tile146       109        0   614.8040  -350.0685    -2.9420
Tile147       110        0   577.2730  -262.1325    -2.9510
Tile148       111        0   594.2070  -183.4225    -3.1410
Tile151       112        0   724.2540 -1296.6665    -4.6829
Tile152       113        0   513.4700 -1094.2225    -3.5030
Tile153       114        0    11.6790  -764.2485    -2.8410
Tile154       115        0   107.5450  -663.9665    -1.7200
Tile155       116        0   303.3220  -616.8075    -0.4920
Tile156       117        0   328.4640  -625.3695    -0.5330
Tile157       118        0   396.1680  -577.4245    -0.7250
Tile158       119        0   396.5810  -565.2235    -0.6260
Tile161       120        0  -341.9770  -667.9765    -1.7850
Tile162       121        0   -71.4180  -679.1775    -2.2510
Tile163       122        0  -409.7899 -1076.2405    -0.0340
Tile164       123        0  -505.0530 -1122.6985    -0.2320
Tile165       124        0  -603.5410  -897.7875    -0.4141
Tile166       125        0  -560.9230  -504.0235    -0.2101
Tile167       126        0  -562.7570  -428.2785    -0.1381
Tile168       127        0  -498.0600  -516.5765    -0.5081
